#{"t_start": 1641254759.786234, "env_id": null}
r,l,t
6.867332,222,6191.070109
6.236991,193,6203.053092
6.630352,201,6213.456302
11.884709,307,6229.066548
4.515578,134,6236.009078
9.928494,263,6249.897828
12.769981,793,6289.623143
9.401765,380,6310.829154
9.268544,269,6325.29253
7.912924,269,6338.726069
6.306539,196,6349.841884
5.733233,178,6359.428827
6.848235,199,6369.048975
5.920343,206,6378.355677
4.149705,143,6386.391167
2.196908,141,6394.035306
6.112175,174,6402.130709
3.926352,324,6419.824443
2.579323,101,6424.97195
2.039934,97,6430.663253
8.110425,264,6442.994303
5.432887,178,6451.556076
3.504353,134,6458.656719
14.820905,358,6478.85844
3.080825,192,6489.022674
4.953034,193,6498.770429
9.258611,243,6512.140259
3.170953,113,6519.111046
1.546241,129,6524.657284
15.487896,384,6543.679401
6.469733,225,6554.221952
9.307955,1001,6602.976137
4.532484,352,6622.777228
7.915142,219,6632.617441
9.525256,246,6644.920412
2.011776,103,6650.096178
2.653445,102,6655.255496
2.179647,101,6661.127632
5.000622,151,6667.999923
4.831948,248,6681.496967
5.390924,188,6691.546408
10.596933,892,6736.304349
11.276764,299,6751.158784
4.097231,148,6757.904038
11.098718,414,6779.937548
5.519098,172,6787.800252
9.985029,258,6799.912667
18.225655,432,6820.337908
5.65412,177,6830.25597
13.525608,325,6845.856567
14.478867,340,6860.726992
6.414468,1001,6909.211491
1.825434,106,6915.097363
13.724124,322,6933.134654
3.45854,195,6943.163573
12.805623,312,6958.584954
5.068439,161,6967.175308
4.354153,156,6974.89029
3.40001,157,6983.807507
1.739517,91,6988.671811
2.34389,105,6994.122846
4.379591,155,7002.613899
6.478979,182,7012.844216
1.001372,82,7017.313252
3.722778,143,7025.087513
8.02095,1001,7074.543079
8.120221,740,7110.811111
10.968445,678,7144.903505
3.823515,146,7152.857769
13.297752,410,7172.868761
17.034575,378,7192.463309
5.698202,480,7217.007995
12.123635,306,7231.677316
2.212187,212,7243.466504
12.065271,537,7267.803018
7.955867,235,7279.917213
14.12539,461,7303.85042
2.495472,109,7309.305781
4.88306,174,7318.194378
2.968191,149,7325.777908
13.374668,626,7357.690789
16.023104,972,7406.179992
8.322295,240,7417.683159
4.240019,133,7425.028931
5.137116,158,7434.235258
5.81126,187,7444.73915
7.421827,219,7455.412012
6.940924,203,7465.434857
2.657904,111,7471.362552
4.97544,164,7480.487989
7.938092,217,7491.848332
9.706791,249,7505.258943
7.408807,191,7514.379767
11.660307,274,7529.188504
11.019433,272,7543.182247
7.828191,718,7578.615428
5.406877,166,7586.496352
2.827077,112,7591.908874
4.59912,164,7600.163643
2.11141,87,7606.220604
2.052452,91,7610.49667
10.697747,321,7626.108732
11.779048,1001,7674.907112
4.218265,129,7681.115086
13.03157,316,7695.547619
8.561226,227,7708.37743
2.102848,140,7714.350952
8.644217,1001,7760.903357
7.286791,1001,7808.889883
9.813902,313,7822.242115
8.74354,250,7835.129647
3.390709,119,7840.304424
2.278308,101,7845.36461
5.528984,175,7854.142968
4.327355,352,7870.135988
2.90403,102,7874.817061
2.675235,106,7880.633738
2.342025,109,7886.34468
5.412652,231,7898.93221
5.45566,174,7906.989734
2.689042,97,7912.24626
10.904712,256,7924.657996
7.072884,189,7933.777184
10.827911,278,7946.239923
9.023703,239,7958.967003
5.284174,157,7967.268397
5.927108,1001,8015.423114
3.828415,144,8022.134645
6.315551,188,8031.158715
6.307439,1001,8079.015964
3.841689,127,8085.86307
7.335023,1001,8133.989065
12.686517,623,8165.503955
2.995085,173,8174.284793
13.067604,304,8188.243113
4.596518,170,8198.429327
6.85821,635,8228.090588
8.42172,212,8238.255913
11.356668,287,8252.81965
6.930446,1001,8300.823506
11.864954,299,8314.972751
1.380267,66,8318.7773
2.949935,118,8324.547422
4.168949,154,8333.569175
6.717327,308,8350.982094
9.38737,297,8365.721559
6.854424,209,8376.822617
4.131699,128,8383.437686
3.736844,123,8389.839746
16.723095,534,8416.872184
10.242361,253,8430.157488
16.135191,392,8448.836658
11.316598,336,8465.58644
4.450443,137,8473.380528
15.322056,349,8491.803572
6.717633,196,8500.590448
16.493107,605,8531.138088
13.00489,411,8550.811651
7.027333,201,8561.928562
6.482168,1001,8608.825903
6.641255,229,8620.260004
3.61034,236,8631.994581
7.343333,220,8643.649203
9.063359,244,8655.311324
1.287626,77,8661.029007
9.78833,413,8681.457443
0.928551,59,8685.290102
7.26564,200,8695.691847
10.970395,280,8710.227301
10.4644,249,8724.398162
4.209238,137,8730.586355
8.247212,215,8741.945917
5.446334,151,8750.949312
9.873895,245,8763.107395
4.989003,761,8804.725945
9.802136,279,8819.903268
11.772752,1001,8869.026443
8.206722,207,8880.932218
6.84379,1001,8926.955409
11.439816,292,8941.216797
3.7785,116,8947.009116
3.471077,143,8955.151564
3.648412,121,8960.477905
6.742324,1001,9008.55566
12.997957,312,9024.124515
2.936237,124,9030.517337
14.386068,325,9047.199275
14.262809,369,9064.083043
14.916861,347,9082.327653
13.999017,398,9100.648855
7.63591,309,9116.24401
5.684381,1001,9166.0943
2.487029,154,9175.204064
2.455617,150,9182.414469
6.022097,166,9189.965734
5.119968,159,9197.170718
19.154217,409,9215.132294
9.351103,1001,9264.107627
2.22224,94,9268.540352
3.327546,126,9275.631537
7.171667,196,9284.180618
6.383996,282,9299.357702
7.614333,1001,9348.821926
5.418147,213,9360.163825
16.760548,358,9380.337668
3.717824,126,9386.743323
8.495552,222,9399.430955
13.524182,1001,9451.701281
6.539714,194,9461.114449
8.358619,221,9472.011735
6.306619,209,9481.219366
6.808447,193,9491.849136
8.814182,238,9503.446753
4.073257,125,9509.201603
3.593332,130,9515.12699
24.308339,612,9546.496753
6.210226,179,9555.269469
8.602401,229,9566.179483
5.243902,171,9575.182504
11.792023,269,9588.932808
15.455594,1001,9639.374685
11.679563,334,9655.528998
4.355766,150,9662.201033
4.309782,135,9668.615167
2.044985,91,9673.419947
20.835063,445,9694.765269
5.32534,178,9703.10347
5.760949,156,9710.757871
2.799718,107,9715.546615
22.255296,496,9741.515148
8.031912,198,9751.52592
8.111762,210,9761.752816
3.2559,116,9767.402905
6.653804,239,9778.295559
4.352982,146,9786.867769
2.493914,110,9793.411871
7.790312,202,9802.439937
8.87802,375,9820.284767
5.100091,167,9829.537814
2.201342,92,9834.267176
10.063879,394,9854.432249
8.067452,213,9864.723055
8.876073,241,9876.792803
7.891823,232,9888.452873
3.385629,107,9895.90097
2.504873,112,9901.985861
7.209208,198,9911.441571
3.279304,120,9917.671047
8.799374,216,9928.515825
2.358516,89,9933.108617
13.778825,311,9951.155024
7.487976,227,9962.672591
19.74219,1001,10012.202191
10.891702,1001,10063.066088
8.921379,1001,10108.562125
3.556484,120,10115.583483
10.537879,239,10126.617799
3.215834,119,10132.440627
9.516277,503,10157.86359
1.320667,73,10161.363495
4.6345,642,10190.098866
18.311883,483,10214.262608
8.202187,203,10224.335734
3.861087,171,10232.766268
7.921818,206,10242.024411
4.040651,131,10250.556952
2.323666,189,10259.261874
8.587133,210,10269.253527
7.538242,1001,10320.952659
7.197225,193,10331.030502
11.754426,264,10344.525672
11.191557,1001,10390.56552
2.014178,91,10395.214598
5.398273,154,10405.546573
3.687833,132,10411.731761
6.657048,406,10432.272385
9.933091,240,10444.141821
11.323677,423,10465.66307
3.416169,139,10472.431922
8.861696,224,10482.68758
5.28568,153,10491.50384
3.475499,129,10499.082426
6.870455,178,10509.347773
7.381137,396,10527.856659
5.120916,137,10535.044469
4.601497,152,10543.682827
8.325696,206,10554.605784
4.11573,125,10561.94576
3.941384,139,10568.756446
3.893305,112,10574.790981
10.665794,401,10593.26693
10.890724,1001,10639.872076
4.98926,141,10647.572841
6.662348,260,10660.564108
16.625774,400,10680.605283
3.004378,113,10687.131775
15.779082,1001,10732.789768
5.029256,145,10740.694157
14.97854,357,10760.094381
8.683809,261,10773.837622
10.86044,251,10787.483841
0.09012,1,10788.076479
14.220889,305,10803.041049
4.633605,148,10809.925294
6.309054,176,10819.407757
3.395714,123,10825.742999
6.752493,1001,10874.681896
5.68505,172,10883.388874
6.87578,1001,10933.085854
5.034142,155,10941.572735
9.589163,228,10954.186133
3.989686,126,10961.1961
8.767542,223,10972.305319
2.191579,126,10979.564344
17.817355,396,10997.332466
7.741048,195,11005.479041
6.639825,194,11017.247663
12.093001,282,11031.536249
11.785663,389,11048.928957
2.198229,109,11053.977329
9.040728,222,11065.240266
2.130128,88,11071.895509
11.399459,286,11085.563147
4.140431,165,11094.1862
12.380172,762,11132.051059
4.276006,142,11139.800229
3.422802,446,11161.978
6.182188,339,11179.732137
10.56495,249,11193.002497
1.300888,150,11199.798378
24.795742,522,11225.932572
5.452739,165,11233.825467
7.972561,1001,11286.209961
2.698326,112,11292.413815
6.042784,167,11300.696102
7.218622,203,11311.334191
6.178948,180,11320.561799
3.021291,105,11326.934172
3.293224,108,11333.260047
5.226373,167,11342.288285
8.505944,214,11353.509164
21.299311,487,11377.636592
23.173762,464,11401.941825
6.107797,300,11415.973461
7.70751,279,11430.308446
5.923879,164,11439.658248
6.977611,188,11448.444997
4.429234,136,11455.921632
8.376461,205,11465.309124
5.35733,159,11473.890622
13.298265,294,11489.160721
9.81194,245,11500.814945
3.422422,134,11506.983593
2.536311,132,11513.196574
4.805282,149,11520.691358
6.360911,187,11529.297548
17.958059,472,11553.837825
7.141191,750,11592.447683
21.718584,484,11616.898408
1.770916,92,11622.220491
4.369194,155,11628.923616
6.942835,191,11638.631513
3.402358,122,11645.475415
3.245702,118,11651.401973
8.671691,217,11662.089746
15.185137,1001,11709.188821
19.088987,403,11728.371824
3.272939,115,11734.092995
4.779206,139,11742.354448
12.615327,1001,11789.974956
17.367545,1001,11839.096793
6.300369,167,11848.667254
2.322951,135,11855.223479
10.054778,228,11864.725389
0.968227,51,11867.382232
5.437359,164,11875.926403
6.757699,184,11884.6179
5.715996,171,11895.036023
25.37969,1001,11942.126179
9.186006,222,11952.814297
5.850416,251,11965.30508
6.990057,192,11975.487964
2.229223,94,11981.530114
5.800957,151,11989.685192
